material;prefix;p1;m1;p2;m2;p3;m3;p4;m4;p5;m5;postfix
СПД 56 6мм LaptaPro HP Neutral 60/40 Temp +20Al/Air/SS+4M1 Temp+20Al/Air/SS+ 6M1 Temp, RAL 7031#5;СПД 56;6мм LaptaPro HP Neutral 60/40 Temp;;20Al/Air/SS;;4M1 Temp;;20Al/Air/SS;;6M1 Temp, RAL 7031#5;;
СПД 41 6мм LaptaPro HP Neutral 60/40 Temp +12Al/Arg/PS+4M1+10Al/Arg/PS+44.2 Lam (4M1 Temp + 0,76pv+4M1);СПД 41;6мм LaptaPro HP Neutral 60/40 Temp;;12Al/Arg/PS;;4M1;;10Al/Arg/PS;;44.2 Lam (4M1 Temp + 0,76pv+4M1);;
СПД 56 6мм LaptaPro HP Neutral 60/40 Temp +20Al/Air/SS+4M1 Temp+20Al/Air/SS+ 6M1 Temp, RAL 7031#6;СПД 56;6мм LaptaPro HP Neutral 60/40 Temp;;20Al/Air/SS;;4M1 Temp;;20Al/Air/SS;;6M1 Temp, RAL 7031#6;;
СПД 56 10мм LaptaPro HP Neutral 60/40 Temp +16Al/Air/SS+6M1 Temp+16Al/Air/SS+ 8M1 Temp, RAL 7031#5;СПД 56;10мм LaptaPro HP Neutral 60/40 Temp;;16Al/Air/SS;;6M1 Temp;;16Al/Air/SS;;8M1 Temp, RAL 7031#5;;
СПД 56 6мм LaptaPro HP Neutral 60/40 Temp +20Al/Arg/PS+4M1 +20Al/Arg/PS+ 6M1 Temp;СПД 56;6мм LaptaPro HP Neutral 60/40 Temp;;20Al/Arg/PS;;4M1;;20Al/Arg/PS;;6M1 Temp;;
СПД 56 10мм LaptaPro HP Neutral 60/40 Temp +16Al/Arg/PS+6M1 +16Al/Arg/PS+ 8M1 Temp;СПД 56;10мм LaptaPro HP Neutral 60/40 Temp;;16Al/Arg/PS;;6M1;;16Al/Arg/PS;;8M1 Temp;;
СП52 (6LPSENeutral70+zak-20-4zak-18-4top+zak) +Герметик Finotech 8000 WP9005;СП52;6LPSENeutral70+zak;;20;;4zak;;18;;4top+zak;;+Герметик Finotech 8000 WP9005
СП52 (8LartaProSENeutral70+zak-16-6-16-6top) рамка WarmexPro9005;СП52;8LartaProSENeutral70+zak;;16;;6;6MTP;16;;6top;;рамка WarmexPro9005
СП52 (6LartaProSENeutral70+zak-20-4-18-4top) рамка WarmexPro9005;СП52;6LartaProSENeutral70+zak;;20;;4;4GO;18;;4top;test;рамка WarmexPro9005
СПД62: 10LPSESILVER60З(Ф)-18WP9005-8М1З(Ф)-18WP9005-8ИЗ(Ф)(ПС)[ПР];СПД62;10LPSESILVER60З(Ф);;18WP9005;;8М1З(Ф);;18WP9005;;8ИЗ(Ф)(ПС)[ПР];;
СПД52: 8LPSESILVER60З(Ф)-16WP9005-6М1(Ф)-16WP9005-6И(Ф)(ПС)[ПР];СПД52;8LPSESILVER60З(Ф);;16WP9005;;6М1(Ф);;16WP9005;;6И(Ф)(ПС)[ПР];;
СПД46: 8LPSESILVER60З(Ф)-14WP9005-6М1-12WP9005-6ИЗ(Ф)(ПС)[ПР];СПД46;8LPSESILVER60З(Ф);;14WP9005;;6М1;;12WP9005;;6ИЗ(Ф)(ПС)[ПР];;
СПД 40мм (8 MF Silver 36/25 #2-10WP9005-6М1-10WP9005-6М1);СПД 40мм;8 MF Silver 36/25 #2;;10WP9005;;6М1;;10WP9005;;6М1;;
СПД 40мм (6 MF Silver 36/25 #2-12WP9005-4М1-12WP9005-4М1зак);СПД 40мм;6 MF Silver 36/25 #2;;12WP9005;;4М1;;12WP9005;;4М1зак;;
СПД 40мм (6 MF Silver 36/25 #2-14WP9005-4М1-12WP9005-4М1);СПД 40мм;6 MF Silver 36/25 #2;;14WP9005;;4М1;;12WP9005;;4М1;;
СПД 40мм (6 MF 36/25 Silver #2-14WP9005-4М1-12WP9005-4М1);СПД 40мм;6 MF 36/25 Silver #2;;14WP9005;;4М1;;12WP9005;;4М1;;
СП32 (4EcoBalance-24-4top) рамка WarmexPro9005;СП32;4EcoBalance;;24;;4top;test;;;;;рамка WarmexPro9005
СП40 (4-14-4-14-4top) рамка WarmexPro9005;СП40;4;4GO;14;;4;4GO;14;;4top;test;рамка WarmexPro9005
СП40 (4Ecobalance-14-4-14-4) рамка WarmexPro9005;СП40;4Ecobalance;;14;;4;4GO;14;;4;4GO;рамка WarmexPro9005
СП40 (4Ecobalance-14-4-14-4);СП40;4Ecobalance;;14;;4;4GO;14;;4;4GO;
СПД 52 мм: 8 LartaPro HP Neutral 60/40 зак – 16 Ar Chromatech RAL 9004 – 6 М1 – 16 Ar Chromatech RAL 9004 – 6 М1 зак;СПД 52 мм;8 LartaPro HP Neutral 60/40 зак;;16 Ar Chromatech RAL 9004;;6 М1;;16 Ar Chromatech RAL 9004;;6 М1 зак;;
СПД 44 мм: 6 LartaPro HP Neutral 60/40 зак – 14 Ar Chromatech RAL 9004 – 4 М1 – 14 Ar Chromatech RAL 9004 – 6 М1 зак;СПД 44 мм;6 LartaPro HP Neutral 60/40 зак;;14 Ar Chromatech RAL 9004;;4 М1;;14 Ar Chromatech RAL 9004;;6 М1 зак;;
СП40 (ЗП+4top-14-4-14-4top+ЗП) корп.(ЖК Счастливый квартал);СП40;ЗП+4top;;14;;4;4GO;14;;4top+ЗП;;корп.(ЖК Счастливый квартал)
СП40 (ЗП+4top-12-4-14-6top+zak+ЗП) корп.(ЖК Счастливый квартал);СП40;ЗП+4top;;12;;4;4GO;14;;6top+zak+ЗП;;корп.(ЖК Счастливый квартал)
СПО 24мм (6М1зак.-12-6М1зак.);СПО 24мм;6М1зак.;;12;;6М1зак.;;;;;;
6М1 зак;;6М1 зак;;;;;;;;;;
8зак.LartaPro SE Neutral 70/8М1зак/2;;8зак.LartaPro SE Neutral 70/8М1зак/2;;;;;;;;;;
